nome,sobrenome,email,cpf_cnpj,profissao,aniversario
Dorothy,Shields,Dorothy.Shields@edesoft.com,067.776.092-29,diretor,03/10/1933
Fayre,Monk,Fayre.Monk@edesoft.com,92.934.134/0001-06,diretor,05/06/1997
Anthia,Havens,Anthia.Havens@edesoft.com,002.824.217-34,eng. software,10/06/1987
Stacey,Liebermann,Stacey.Liebermann@edesoft.com,67.765.573/0001-87,desenvolvedor python,27/11/1911
Paulita,Tamsky,Paulita.Tamsky@edesoft.com,167.615.050-11,eng. software,07/05/1901
Deirdre,Papageno,Deirdre.Papageno@edesoft.com,103.631.109-09,devops,10/02/1982
Blondelle,Ferrell,Blondelle.Ferrell@edesoft.com,26.589.326/0001-90,eng. software,21/07/1971
Valera,Pozzy,Valera.Pozzy@edesoft.com,61.937.901/0001-07,diretor,20/06/1908
Stephanie,Jagir,Stephanie.Jagir@edesoft.com,42.932.602/0001-27,eng. software,17/02/1995
Claudina,Kosey,Claudina.Kosey@edesoft.com,33.378.389/0001-62,eng. software,01/11/1917
Olwen,Nikaniki,Olwen.Nikaniki@edesoft.com,653.578.404-58,devops,02/12/1972
Damaris,Denis,Damaris.Denis@edesoft.com,736.304.813-45,eng. software,16/02/1944
Melisent,Sperling,Melisent.Sperling@edesoft.com,289.878.756-60,desenvolvedor python,18/05/1978
Jaclyn,Sikorski,Jaclyn.Sikorski@edesoft.com,23.540.162/0001-18,gerente,05/06/1964
Correy,Uund,Correy.Uund@edesoft.com,97.038.598/0001-40,estagiario,28/03/1993
Gianina,Harl,Gianina.Harl@edesoft.com,28.849.771/0001-77,desenvolvedor python,27/05/1918
Andeee,Pandolfi,Andeee.Pandolfi@edesoft.com,53.407.288/0001-80,eng. software,10/11/1904
Jessy,Agle,Jessy.Agle@edesoft.com,984.814.668-75,desenvolvedor python,08/10/1958
Leanna,Gino,Leanna.Gino@edesoft.com,798.943.377-08,diretor,02/04/1906
Lynnea,Brotherson,Lynnea.Brotherson@edesoft.com,244.911.470-00,eng. software,21/06/1952
Ardeen,Niccolo,Ardeen.Niccolo@edesoft.com,881.379.729-00,dba,15/05/1987
Jany,Geffner,Jany.Geffner@edesoft.com,15.981.753/0001-00,estagiario,13/02/1940
Tobe,Olin,Tobe.Olin@edesoft.com,490.060.313-99,dba,14/04/1917
Cecile,Alabaster,Cecile.Alabaster@edesoft.com,125.454.608-18,devops,26/04/1990
Aili,Knowling,Aili.Knowling@edesoft.com,850.798.111-96,devops,13/03/1973
Feliza,Delp,Feliza.Delp@edesoft.com,343.558.041-00,desenvolvedor python,08/08/1993
Darlleen,Casimir,Darlleen.Casimir@edesoft.com,522.323.446-49,desenvolvedor python,17/06/2000
Gerrie,Bigner,Gerrie.Bigner@edesoft.com,776.797.235-67,eng. software,05/09/1977
Karena,Graig,Karena.Graig@edesoft.com,540.245.833-28,gerente,07/03/1902
Roz,Soneson,Roz.Soneson@edesoft.com,215.529.261-92,dba,08/10/1910
Malina,Publia,Malina.Publia@edesoft.com,68.919.182/0001-32,desenvolvedor python,22/11/1961
Elora,Azeria,Elora.Azeria@edesoft.com,947.778.266-19,devops,04/08/1902
Frances,Luhe,Frances.Luhe@edesoft.com,112.776.321-03,gerente,29/11/1901
Maud,Hoenack,Maud.Hoenack@edesoft.com,416.616.432-56,diretor,16/10/1989
Elsie,Annice,Elsie.Annice@edesoft.com,68.061.494/0001-58,devops,12/04/1955
Viviene,Dominy,Viviene.Dominy@edesoft.com,48.508.807/0001-66,diretor,06/10/1928
Carree,Buffum,Carree.Buffum@edesoft.com,09.074.013/0001-80,devops,13/09/1954
Suzette,Vivle,Suzette.Vivle@edesoft.com,63.992.763/0001-86,gerente,05/08/1945
Sibella,Dex,Sibella.Dex@edesoft.com,221.649.030-05,estagiario,08/01/1912
Melodie,Rooney,Melodie.Rooney@edesoft.com,10.142.893/0001-63,estagiario,03/01/1989
Shannah,Mullane,Shannah.Mullane@edesoft.com,794.920.078-27,gerente,12/05/1916
Stevana,Constancy,Stevana.Constancy@edesoft.com,325.417.086-53,desenvolvedor python,31/05/1910
Gratia,Himelman,Gratia.Himelman@edesoft.com,68.387.792/0001-32,dba,29/06/1908
Berget,Friede,Berget.Friede@edesoft.com,259.718.170-78,desenvolvedor python,21/01/1944
Gerianna,Elsinore,Gerianna.Elsinore@edesoft.com,727.652.878-21,dba,07/07/1953
Myriam,Standing,Myriam.Standing@edesoft.com,454.027.541-01,diretor,03/01/1959
Leanna,Llovera,Leanna.Llovera@edesoft.com,80.686.109/0001-63,devops,09/04/1999
Cecile,Urania,Cecile.Urania@edesoft.com,685.433.821-22,diretor,07/10/1979
Maisey,Jeanne,Maisey.Jeanne@edesoft.com,07.404.894/0001-24,diretor,20/03/1925
Jinny,Goode,Jinny.Goode@edesoft.com,488.907.190-36,gerente,07/11/1964
Shannah,Katrine,Shannah.Katrine@edesoft.com,19.597.845/0001-34,desenvolvedor python,09/05/1959
Chere,Urania,Chere.Urania@edesoft.com,32.111.494/0001-78,desenvolvedor python,18/10/1955
Therine,Sekofski,Therine.Sekofski@edesoft.com,466.986.069-01,estagiario,10/03/1942
Marnia,Bebe,Marnia.Bebe@edesoft.com,899.227.327-42,eng. software,22/03/1915
Damaris,Alfons,Damaris.Alfons@edesoft.com,364.950.503-72,eng. software,23/01/1967
Linzy,Valoniah,Linzy.Valoniah@edesoft.com,93.929.838/0001-45,gerente,28/09/1978
Gabi,Terrence,Gabi.Terrence@edesoft.com,705.568.550-86,devops,17/12/1990
Georgina,Mendez,Georgina.Mendez@edesoft.com,339.316.574-77,dba,25/01/1978
Mellicent,Pozzy,Mellicent.Pozzy@edesoft.com,62.350.619/0001-83,devops,08/02/1935
Tobe,Cadmar,Tobe.Cadmar@edesoft.com,98.914.408/0001-73,dba,20/09/1954
Jordan,Cohdwell,Jordan.Cohdwell@edesoft.com,403.015.350-00,eng. software,13/03/1923
Carolina,Madelene,Carolina.Madelene@edesoft.com,84.737.243/0001-05,gerente,30/08/1978
Ardenia,Nelsen,Ardenia.Nelsen@edesoft.com,64.644.438/0001-95,estagiario,20/08/1973
Lesly,Gemini,Lesly.Gemini@edesoft.com,316.435.963-22,dba,29/04/1905
Daune,Kaja,Daune.Kaja@edesoft.com,513.601.486-55,desenvolvedor python,18/03/1979
Britte,Gabrielli,Britte.Gabrielli@edesoft.com,709.230.991-31,diretor,06/08/1978
Layla,Ezar,Layla.Ezar@edesoft.com,40.703.581/0001-42,dba,18/11/1938
Zsa Zsa,Bobbee,Zsa Zsa.Bobbee@edesoft.com,804.460.288-78,devops,25/06/1966
Nerta,Kosey,Nerta.Kosey@edesoft.com,09.474.309/0001-98,dba,10/05/1982
Janenna,Bollay,Janenna.Bollay@edesoft.com,234.137.954-06,desenvolvedor python,16/04/1980
Lynnea,Shama,Lynnea.Shama@edesoft.com,74.679.341/0001-71,diretor,23/10/1964
Fina,Madaih,Fina.Madaih@edesoft.com,407.516.497-75,gerente,20/07/1965
Yolane,Bronk,Yolane.Bronk@edesoft.com,354.662.505-62,diretor,25/01/1961
Lilith,Melony,Lilith.Melony@edesoft.com,697.295.527-03,dba,04/11/1997
Laure,Fax,Laure.Fax@edesoft.com,774.482.330-33,desenvolvedor python,04/07/1904
Robinia,Tatianas,Robinia.Tatianas@edesoft.com,325.434.595-96,estagiario,03/02/1918
Christal,Friede,Christal.Friede@edesoft.com,907.856.233-10,estagiario,24/07/1905
Hermione,Rugen,Hermione.Rugen@edesoft.com,47.071.494/0001-69,estagiario,28/05/1931
Charmaine,LaRue,Charmaine.LaRue@edesoft.com,445.150.503-89,estagiario,23/05/1951
Ada,Ramona,Ada.Ramona@edesoft.com,860.575.671-37,gerente,08/04/1988
Luci,Gilmour,Luci.Gilmour@edesoft.com,99.567.354/0001-80,gerente,04/06/2001
Clarice,Masao,Clarice.Masao@edesoft.com,79.450.346/0001-41,estagiario,18/10/1953
Giustina,Geffner,Giustina.Geffner@edesoft.com,98.869.818/0001-40,desenvolvedor python,09/10/1904
Elvira,Tice,Elvira.Tice@edesoft.com,10.355.543/0001-85,estagiario,08/06/2003
Lila,Nikaniki,Lila.Nikaniki@edesoft.com,023.007.372-72,estagiario,15/12/1936
Florencia,Therine,Florencia.Therine@edesoft.com,370.563.624-35,dba,15/10/1927
Jere,Ashok,Jere.Ashok@edesoft.com,360.512.731-23,devops,03/10/1944
Wileen,Allare,Wileen.Allare@edesoft.com,129.933.038-05,estagiario,24/06/1970
Starla,Suzetta,Starla.Suzetta@edesoft.com,49.405.863/0001-38,desenvolvedor python,06/04/1996
Roz,Swigart,Roz.Swigart@edesoft.com,86.772.748/0001-28,dba,23/08/1924
Therine,Codding,Therine.Codding@edesoft.com,54.743.606/0001-46,devops,27/02/1975
Berta,Xerxes,Berta.Xerxes@edesoft.com,487.606.146-76,dba,26/07/1906
Kristan,Goth,Kristan.Goth@edesoft.com,505.169.741-06,estagiario,02/09/1984
Ethel,Atcliffe,Ethel.Atcliffe@edesoft.com,148.525.008-00,devops,22/02/1905
Sibella,Toni,Sibella.Toni@edesoft.com,637.533.323-72,devops,13/03/1909
Hayley,Wind,Hayley.Wind@edesoft.com,078.888.399-24,desenvolvedor python,22/01/1931
Dawn,Salchunas,Dawn.Salchunas@edesoft.com,727.930.416-88,dba,14/06/1970
Leeanne,Damarra,Leeanne.Damarra@edesoft.com,447.832.031-48,gerente,25/02/1910
Stevana,Leonard,Stevana.Leonard@edesoft.com,317.795.012-18,desenvolvedor python,13/12/1901
Lynnea,Thilda,Lynnea.Thilda@edesoft.com,60.516.885/0001-08,gerente,07/12/2001
Catharine,Thornburg,Catharine.Thornburg@edesoft.com,40.352.055/0001-85,estagiario,28/04/1940
Teriann,Rudolph,Teriann.Rudolph@edesoft.com,917.996.443-59,gerente,14/05/1900
Annaliese,Erlandson,Annaliese.Erlandson@edesoft.com,74.891.753/0001-70,eng. software,07/03/1958
Angelique,Saunderson,Angelique.Saunderson@edesoft.com,87.143.384/0001-80,gerente,14/12/1914
Paulita,Susannah,Paulita.Susannah@edesoft.com,09.955.371/0001-00,devops,01/11/1985
Heida,Stephie,Heida.Stephie@edesoft.com,985.381.447-15,gerente,21/01/1904
Talya,Shirberg,Talya.Shirberg@edesoft.com,92.139.192/0001-30,diretor,25/10/1973
Agathe,Drus,Agathe.Drus@edesoft.com,496.693.547-49,devops,09/09/2000
Chandra,Kirstin,Chandra.Kirstin@edesoft.com,936.624.810-14,estagiario,08/02/1946
Frank,Rogerio,Frank.Rogerio@edesoft.com,981.413.241-10,estagiario,19/01/1908
Daune,Gordon,Daune.Gordon@edesoft.com,926.568.742-89,estagiario,15/06/1992
Alie,Tryck,Alie.Tryck@edesoft.com,37.362.879/0001-21,eng. software,18/03/1997
Raquela,Stelle,Raquela.Stelle@edesoft.com,06.125.224/0001-06,estagiario,03/09/1949
Tomasina,Louanna,Tomasina.Louanna@edesoft.com,67.590.256/0001-77,estagiario,08/06/1998
Hildegaard,Clywd,Hildegaard.Clywd@edesoft.com,303.080.050-40,devops,07/11/1921
Deane,Khorma,Deane.Khorma@edesoft.com,77.075.976/0001-58,gerente,03/06/1954
Berta,Carbo,Berta.Carbo@edesoft.com,053.132.402-85,devops,06/05/1931
Judy,Teddman,Judy.Teddman@edesoft.com,38.253.639/0001-51,eng. software,06/05/1902
Angelique,Faria,Angelique.Faria@edesoft.com,577.957.263-13,desenvolvedor python,15/03/1941
Nannie,Corabella,Nannie.Corabella@edesoft.com,687.811.915-45,estagiario,21/04/1939
Edee,Elo,Edee.Elo@edesoft.com,039.217.044-21,devops,12/01/1978
Kathi,Suanne,Kathi.Suanne@edesoft.com,543.062.029-76,eng. software,07/05/1989
Nita,Turne,Nita.Turne@edesoft.com,047.008.707-29,diretor,31/10/1949
Sibella,Johnsson,Sibella.Johnsson@edesoft.com,684.052.270-91,estagiario,04/02/1911
Heida,Hermes,Heida.Hermes@edesoft.com,763.708.233-41,eng. software,24/11/1947
Maisey,Jacobah,Maisey.Jacobah@edesoft.com,20.164.289/0001-91,gerente,17/10/1954
Melodie,Rossner,Melodie.Rossner@edesoft.com,262.172.632-11,dba,16/11/1957
Clementine,Gino,Clementine.Gino@edesoft.com,53.981.491/0001-65,gerente,08/05/1955
Clary,Lynn,Clary.Lynn@edesoft.com,078.884.391-52,estagiario,14/09/1955
Elbertina,Rustice,Elbertina.Rustice@edesoft.com,42.086.028/0001-33,gerente,14/02/1977
Dorice,Carlson,Dorice.Carlson@edesoft.com,51.739.414/0001-78,gerente,04/06/1908
Amelia,Shama,Amelia.Shama@edesoft.com,925.473.025-43,desenvolvedor python,14/12/1951
Mariele,Leopold,Mariele.Leopold@edesoft.com,141.933.010-10,eng. software,27/05/1952
Binny,Jena,Binny.Jena@edesoft.com,93.162.146/0001-14,estagiario,27/03/1965
Elsie,Burnside,Elsie.Burnside@edesoft.com,718.296.775-86,desenvolvedor python,20/02/1991
Lonnie,Chabot,Lonnie.Chabot@edesoft.com,52.261.994/0001-01,dba,17/05/1906
Annice,Stuart,Annice.Stuart@edesoft.com,48.884.711/0001-00,diretor,24/01/1957
Jenilee,Liebermann,Jenilee.Liebermann@edesoft.com,30.324.353/0001-08,desenvolvedor python,07/02/1994
Edee,Lanita,Edee.Lanita@edesoft.com,71.563.300/0001-27,devops,18/07/1960
Aimil,Nunci,Aimil.Nunci@edesoft.com,14.625.621/0001-75,estagiario,11/03/1986
Susan,Rosalba,Susan.Rosalba@edesoft.com,368.305.429-87,devops,13/01/1971
Babita,Gerge,Babita.Gerge@edesoft.com,113.041.390-00,dba,22/10/1949
Marleah,Aaberg,Marleah.Aaberg@edesoft.com,19.583.424/0001-54,devops,07/07/1937
Mamie,Seagraves,Mamie.Seagraves@edesoft.com,99.466.890/0001-99,gerente,27/12/2002
Fernande,Jaylene,Fernande.Jaylene@edesoft.com,21.673.318/0001-03,diretor,12/12/1960
Maud,My,Maud.My@edesoft.com,63.695.720/0001-39,diretor,17/07/1985
Cissiee,Olnee,Cissiee.Olnee@edesoft.com,104.503.314-66,diretor,19/10/1946
Beatriz,Maisey,Beatriz.Maisey@edesoft.com,39.716.124/0001-03,dba,29/08/1965
Kial,Irmine,Kial.Irmine@edesoft.com,955.407.681-91,gerente,11/03/1975
Sidoney,Vittoria,Sidoney.Vittoria@edesoft.com,000.913.074-81,estagiario,20/10/1927
Kimmy,Thar,Kimmy.Thar@edesoft.com,432.454.458-14,devops,05/04/1935
Chloris,Stover,Chloris.Stover@edesoft.com,955.789.085-19,dba,24/08/1918
Adelle,Nikaniki,Adelle.Nikaniki@edesoft.com,619.956.452-90,diretor,08/07/1967
Jordan,Standing,Jordan.Standing@edesoft.com,18.096.866/0001-03,dba,14/07/1988
Desirae,Bobbee,Desirae.Bobbee@edesoft.com,29.705.034/0001-63,estagiario,30/08/1902
Fanchon,Gordon,Fanchon.Gordon@edesoft.com,972.935.894-09,devops,01/06/1915
Vita,Geffner,Vita.Geffner@edesoft.com,82.325.158/0001-04,dba,08/09/2000
Madelle,Erskine,Madelle.Erskine@edesoft.com,853.068.103-73,devops,26/06/1909
Mara,Yorick,Mara.Yorick@edesoft.com,33.514.462/0001-86,eng. software,01/05/1996
Hettie,Lesley,Hettie.Lesley@edesoft.com,717.217.433-08,eng. software,06/05/1997
Eadie,Regan,Eadie.Regan@edesoft.com,421.512.738-65,gerente,27/12/1929
Lolita,Faria,Lolita.Faria@edesoft.com,090.667.735-10,gerente,12/09/1945
Sheree,Boehike,Sheree.Boehike@edesoft.com,23.082.588/0001-75,estagiario,12/09/1965
Selia,Paton,Selia.Paton@edesoft.com,90.192.711/0001-06,eng. software,09/05/1906
Tobe,Tufts,Tobe.Tufts@edesoft.com,471.808.144-07,estagiario,18/09/1924
Georgetta,Chobot,Georgetta.Chobot@edesoft.com,17.656.084/0001-19,estagiario,09/07/2000
Angelique,Wittie,Angelique.Wittie@edesoft.com,936.915.734-44,estagiario,13/12/1912
Clementine,Delila,Clementine.Delila@edesoft.com,387.440.349-11,dba,26/07/1976
Oona,Concha,Oona.Concha@edesoft.com,56.946.500/0001-75,diretor,21/02/1982
Kristan,Ovid,Kristan.Ovid@edesoft.com,931.237.823-60,dba,13/11/1937
Teddie,Lynn,Teddie.Lynn@edesoft.com,543.616.402-11,estagiario,13/07/1981
Gloria,Pillsbury,Gloria.Pillsbury@edesoft.com,64.150.528/0001-20,dba,22/12/2001
Jany,Calhoun,Jany.Calhoun@edesoft.com,25.348.250/0001-48,eng. software,29/05/1917
Roseline,Linskey,Roseline.Linskey@edesoft.com,877.432.022-08,diretor,01/04/1927
Nerta,Bonucci,Nerta.Bonucci@edesoft.com,831.171.416-93,desenvolvedor python,24/07/1969
Moyna,Lanita,Moyna.Lanita@edesoft.com,10.655.179/0001-79,devops,16/07/1901
Lynnea,Tannie,Lynnea.Tannie@edesoft.com,665.554.999-07,estagiario,29/04/1909
Tina,Merat,Tina.Merat@edesoft.com,85.713.594/0001-30,dba,12/11/1913
Elvira,Primalia,Elvira.Primalia@edesoft.com,633.022.025-55,desenvolvedor python,04/05/1917
Anica,Prouty,Anica.Prouty@edesoft.com,20.867.118/0001-29,diretor,22/02/1909
Joceline,Desai,Joceline.Desai@edesoft.com,789.746.633-76,desenvolvedor python,29/10/1971
Dorothy,Alwin,Dorothy.Alwin@edesoft.com,72.048.076/0001-06,desenvolvedor python,11/07/1964
Adriana,Huggins,Adriana.Huggins@edesoft.com,65.014.046/0001-05,diretor,14/06/1968
Luci,Hutchison,Luci.Hutchison@edesoft.com,730.038.640-76,desenvolvedor python,04/10/1960
Bibby,Mott,Bibby.Mott@edesoft.com,60.971.982/0001-90,estagiario,18/02/1911
Beth,Weinreb,Beth.Weinreb@edesoft.com,03.402.258/0001-02,dba,17/08/1967
Karina,Irmine,Karina.Irmine@edesoft.com,71.965.349/0001-06,desenvolvedor python,10/12/1963
Tori,Hanshaw,Tori.Hanshaw@edesoft.com,07.970.127/0001-82,diretor,20/09/1982
Fanchon,Heidt,Fanchon.Heidt@edesoft.com,28.274.752/0001-60,eng. software,04/05/1913
Kara-Lynn,Vanni,Kara-Lynn.Vanni@edesoft.com,80.769.672/0001-03,dba,02/07/1971
Brooks,Wooster,Brooks.Wooster@edesoft.com,204.527.997-91,dba,06/08/1980
Raf,Cottle,Raf.Cottle@edesoft.com,71.164.351/0001-86,dba,20/10/1938
Ezmeralda,Ammann,Ezmeralda.Ammann@edesoft.com,95.906.285/0001-30,dba,21/02/1911
Dianemarie,Drus,Dianemarie.Drus@edesoft.com,803.723.169-05,diretor,22/11/1946
Concettina,Mike,Concettina.Mike@edesoft.com,12.605.974/0001-88,desenvolvedor python,11/03/1972
Nyssa,Zetta,Nyssa.Zetta@edesoft.com,078.908.683-24,devops,28/10/1950
Sandie,Chandler,Sandie.Chandler@edesoft.com,38.455.558/0001-34,desenvolvedor python,24/08/1947
Trixi,Publia,Trixi.Publia@edesoft.com,66.865.266/0001-05,devops,06/07/1905
Madeleine,Creamer,Madeleine.Creamer@edesoft.com,27.014.400/0001-02,diretor,16/05/1913
Kore,Lareena,Kore.Lareena@edesoft.com,87.143.332/0001-03,diretor,16/12/1922
Inga,Bettine,Inga.Bettine@edesoft.com,04.346.224/0001-00,eng. software,13/08/1931
Cindelyn,Lilybelle,Cindelyn.Lilybelle@edesoft.com,148.805.313-83,diretor,05/06/1995
Suzette,Terrence,Suzette.Terrence@edesoft.com,37.191.289/0001-83,eng. software,13/08/1932
Iseabal,O'Rourke,Iseabal.O'Rourke@edesoft.com,445.976.124-67,gerente,06/11/1927
Edith,Ralfston,Edith.Ralfston@edesoft.com,09.533.421/0001-52,devops,21/01/1998
Johna,Corilla,Johna.Corilla@edesoft.com,379.744.360-93,desenvolvedor python,07/04/1953
Juliane,Colbert,Juliane.Colbert@edesoft.com,373.042.931-01,gerente,20/12/1999
Ardenia,Sheng,Ardenia.Sheng@edesoft.com,12.004.736/0001-17,desenvolvedor python,03/02/1935
Tiffie,Garek,Tiffie.Garek@edesoft.com,236.641.081-67,eng. software,26/01/1998
Paola,Fosque,Paola.Fosque@edesoft.com,39.783.306/0001-05,eng. software,11/10/1985
Dania,Noam,Dania.Noam@edesoft.com,809.217.609-49,devops,16/10/1990
Starla,Gwenore,Starla.Gwenore@edesoft.com,493.882.859-64,estagiario,29/12/1901
Ayn,Thad,Ayn.Thad@edesoft.com,354.541.424-84,diretor,25/02/1953
Barbi,Dominy,Barbi.Dominy@edesoft.com,178.472.956-60,gerente,24/10/1950
Calla,Elbertina,Calla.Elbertina@edesoft.com,01.671.128/0001-40,dba,02/11/1929
Jacquetta,Stanwood,Jacquetta.Stanwood@edesoft.com,71.043.449/0001-85,gerente,27/05/1991
Sean,Hachmin,Sean.Hachmin@edesoft.com,71.002.577/0001-80,devops,31/01/1952
Tilly,Gower,Tilly.Gower@edesoft.com,513.693.344-51,desenvolvedor python,27/05/1966
Orsola,Sharl,Orsola.Sharl@edesoft.com,054.106.728-10,gerente,13/08/1913
Kerrin,Seessel,Kerrin.Seessel@edesoft.com,561.909.256-93,estagiario,11/04/1944
June,Craggie,June.Craggie@edesoft.com,763.615.030-11,dba,27/11/1940
Perry,Brenn,Perry.Brenn@edesoft.com,901.469.734-10,gerente,30/05/1987
Belinda,Terencio,Belinda.Terencio@edesoft.com,595.454.962-15,gerente,20/02/1956
Madalyn,Santoro,Madalyn.Santoro@edesoft.com,325.824.260-75,eng. software,01/12/1963
Codie,Stephie,Codie.Stephie@edesoft.com,648.133.981-20,desenvolvedor python,08/11/1971
Lory,Hurley,Lory.Hurley@edesoft.com,529.566.077-07,devops,11/12/1918
Clo,Delila,Clo.Delila@edesoft.com,20.501.867/0001-38,devops,22/10/1960
Rayna,Carbo,Rayna.Carbo@edesoft.com,90.126.412/0001-65,estagiario,23/06/1983
Kara-Lynn,Alabaster,Kara-Lynn.Alabaster@edesoft.com,783.288.341-38,estagiario,15/02/1912
Lila,Gunn,Lila.Gunn@edesoft.com,938.663.857-65,estagiario,23/01/1985
Kial,Juliet,Kial.Juliet@edesoft.com,89.359.754/0001-46,desenvolvedor python,26/01/1930
Roslyn,Papageno,Roslyn.Papageno@edesoft.com,643.611.455-63,devops,14/09/1956
Vinita,Colbert,Vinita.Colbert@edesoft.com,259.211.525-01,gerente,10/05/1979
Rani,Mott,Rani.Mott@edesoft.com,804.266.142-83,estagiario,06/06/2002
Kara-Lynn,Sundin,Kara-Lynn.Sundin@edesoft.com,047.185.085-33,devops,05/12/1937
Randa,Brandice,Randa.Brandice@edesoft.com,61.856.534/0001-09,devops,21/08/1984
Neila,Dowski,Neila.Dowski@edesoft.com,45.450.546/0001-82,estagiario,25/04/1904
Nickie,Gunn,Nickie.Gunn@edesoft.com,117.216.592-00,diretor,21/12/1985
Lila,Sprage,Lila.Sprage@edesoft.com,63.287.935/0001-10,eng. software,29/12/1970
Eve,Si,Eve.Si@edesoft.com,52.408.176/0001-80,dba,31/03/1920
Alia,Emanuel,Alia.Emanuel@edesoft.com,87.807.930/0001-30,estagiario,21/01/1972
Alexine,Mendez,Alexine.Mendez@edesoft.com,73.473.915/0001-98,estagiario,07/04/1906
Julieta,Rolf,Julieta.Rolf@edesoft.com,02.818.560/0001-83,estagiario,23/05/1908
Pamella,Reidar,Pamella.Reidar@edesoft.com,50.774.221/0001-95,diretor,11/11/1997
Modestia,Belanger,Modestia.Belanger@edesoft.com,218.016.410-64,devops,07/03/1988
Rivalee,Silvan,Rivalee.Silvan@edesoft.com,829.343.314-07,diretor,13/02/1989
Damaris,Love,Damaris.Love@edesoft.com,011.425.867-82,gerente,25/08/1910
Danny,Chobot,Danny.Chobot@edesoft.com,08.904.522/0001-20,dba,30/07/1984
Phedra,Felecia,Phedra.Felecia@edesoft.com,174.191.486-86,estagiario,13/10/1985
Anestassia,Natalia,Anestassia.Natalia@edesoft.com,957.272.965-95,devops,24/11/1926
Belva,Jacqui,Belva.Jacqui@edesoft.com,266.336.630-72,gerente,26/01/1990
Rhoda,Hoenack,Rhoda.Hoenack@edesoft.com,56.701.028/0001-00,gerente,19/10/1991
Anestassia,Ivens,Anestassia.Ivens@edesoft.com,97.503.434/0001-46,desenvolvedor python,15/05/1905
Lucy,Flyn,Lucy.Flyn@edesoft.com,31.781.307/0001-09,diretor,22/02/1921
Mariann,Bibi,Mariann.Bibi@edesoft.com,116.606.603-78,estagiario,06/08/1906
Nessie,Urania,Nessie.Urania@edesoft.com,19.738.590/0001-82,desenvolvedor python,04/11/1907
Fina,Camden,Fina.Camden@edesoft.com,428.660.084-05,gerente,08/08/1937
Petronia,Podvin,Petronia.Podvin@edesoft.com,650.756.988-75,dba,24/06/1967
Thalia,Kathie,Thalia.Kathie@edesoft.com,324.846.966-80,dba,28/08/1936
Arlina,Albertine,Arlina.Albertine@edesoft.com,00.520.615/0001-49,gerente,12/05/1981
Isa,Ammann,Isa.Ammann@edesoft.com,315.247.258-70,estagiario,21/11/1993
Jillayne,Kenwood,Jillayne.Kenwood@edesoft.com,741.163.295-33,gerente,22/12/1991
Lorie,Sasnett,Lorie.Sasnett@edesoft.com,68.831.716/0001-74,eng. software,03/02/1974
Katleen,Tomasina,Katleen.Tomasina@edesoft.com,105.213.891-86,dba,13/07/1975
Bernardine,Japeth,Bernardine.Japeth@edesoft.com,35.032.910/0001-30,estagiario,24/04/1987
Ezmeralda,Joachim,Ezmeralda.Joachim@edesoft.com,416.304.115-07,diretor,27/12/1959
Andree,Strephon,Andree.Strephon@edesoft.com,061.265.496-60,eng. software,20/03/1992
